SMILES	pKi
CC(F)(F)C(=O)Nc1cc(F)c(F)c([C@]2(C)CS(=O)(=O)C(C)(C)C(=N)N2)c1	7.1024
CC(F)(F)C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C(C)(C)C(=N)N2)c1	7.0862
CC(F)(F)C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)[C@]3(CCOC3)C(=N)N2)c1	6.5045
CC1(C(=O)Nc2cc(F)c(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(=N)N3)c2)CC1	6.15
CC1(C(=O)Nc2cc(F)c(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(=N)N3)c2)COC1	5.9389
CC1(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(=N)N3)c2)CC1	5.8256
CC1(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(=N)N3)c2)COC1	6.1314
CC1(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)[C@]4(CCOC4)C(=N)N3)c2)CC1	6.0009
CC1(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)[C@]4(CCOC4)C(=N)N3)c2)COC1	5.3783
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)C(F)F)ccc3F)COC[C@H]2S1(=O)=O	6.5884
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4ccc(C#N)cn4)ccc3F)COC[C@H]2S1(=O)=O	9
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4ccc(C(F)(F)F)cn4)ccc3F)COC[C@H]2S1(=O)=O	8.5229
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4ccc(Cl)cn4)ccc3F)COC[C@H]2S1(=O)=O	8.6021
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)COC[C@H]2S1(=O)=O	8.4559
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4ccc(OCF)cn4)ccc3F)COC[C@H]2S1(=O)=O	8.5229
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4ccn(C(F)F)n4)ccc3F)COC[C@H]2S1(=O)=O	9
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4cn5ccsc5n4)ccc3F)COC[C@H]2S1(=O)=O	7.6021
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4cnc(C(F)(F)F)cn4)ccc3F)COC[C@H]2S1(=O)=O	7.8861
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4cnc(OCCF)cn4)ccc3F)COC[C@H]2S1(=O)=O	8.1549
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4cnsn4)ccc3F)COC[C@H]2S1(=O)=O	8.0969
CC1(C)C(=N)N[C@@]2(c3cc(NC(=O)c4ncc(Cl)cc4F)ccc3F)COC[C@H]2S1(=O)=O	8.5229
CC1(C)C(=N)N[C@@]2(c3cc(OCC4CC4)ccc3F)CO[C@@H](c3ccc(F)cc3)C[C@H]2S1(=O)=O	6.9393
CC1(C)C(=N)N[C@@]2(c3cc(Oc4cc(C#N)ccn4)ccc3F)CO[C@@H](c3ccc(F)cc3)C[C@H]2S1(=O)=O	7.7471
CC1(C)C(=N)N[C@@]2(c3cc(Oc4ncccc4F)ccc3F)CO[C@@H](c3ccc(F)cc3)C[C@H]2S1(=O)=O	8.4089
CC1(C)C(=N)N[C@](C)(c2c(F)c(F)cc(NC(=O)c3ccc(C(F)(F)F)cn3)c2F)CS1(=O)=O	8.1024
CC1(C)C(=N)N[C@](C)(c2c(F)c(F)cc(NC(=O)c3ccc(Cl)cn3)c2F)CS1(=O)=O	8.0177
CC1(C)C(=N)N[C@](C)(c2c(F)c(F)cc(NC(=O)c3ccc(F)cn3)c2F)CS1(=O)=O	7.451
CC1(C)C(=N)N[C@](C)(c2c(F)ccc(F)c2F)CS1(=O)=O	5.6198
CC1(C)C(=N)N[C@](C)(c2c(F)ccc(N)c2F)CS1(=O)=O	5.4437
CC1(C)C(=N)N[C@](C)(c2c(F)ccc(NC(=O)c3ccc(F)cn3)c2F)CS1(=O)=O	7.5607
CC1(C)C(=N)N[C@](C)(c2c(F)cccc2F)CS1(=O)=O	5.8861
CC1(C)C(=N)N[C@](C)(c2cc(-c3cc(F)cc(-c4cnco4)c3)cs2)CS1(=O)=O	7.0937
CC1(C)C(=N)N[C@](C)(c2cc(-c3cccc(-c4ccno4)c3)cs2)CS1(=O)=O	6.9481
CC1(C)C(=N)N[C@](C)(c2cc(-c3cccc(-c4cnco4)c3)cs2)CS1(=O)=O	7.1308
CC1(C)C(=N)N[C@](C)(c2cc(-c3cccc(-c4nnco4)c3)cs2)CS1(=O)=O	7.382
CC1(C)C(=N)N[C@](C)(c2cc(-c3cncc(-c4cnco4)c3)cs2)CS1(=O)=O	7.0278
CC1(C)C(=N)N[C@](C)(c2cc(-c3cncc(-c4ncco4)c3)cs2)CS1(=O)=O	6.8914
CC1(C)C(=N)N[C@](C)(c2cc(Br)cs2)CS1(=O)=O	5.3279
CC1(C)C(=N)N[C@](C)(c2cc(N)cc(Cl)c2F)CS1(=O)=O	5.5086
CC1(C)C(=N)N[C@](C)(c2cc(N)ccc2F)CS1(=O)=O	5.2147
CC1(C)C(=N)N[C@](C)(c2cc(N3Cc4cc(Br)ccc4C3=O)ccc2F)CS1(=O)=O	5.7435
